year,match_id,minute_2_0,xg_at_event,is_home_lead,target_comeback
2019,11671,42,1.4394732899963856,0,0
2019,11674,55,0.8712098933756351,1,0
2019,11675,42,1.3493629973381758,1,0
2019,11678,41,1.012717891484499,1,0
2019,11680,79,1.02367296628654,0,0
2019,11682,39,0.5670862011611462,0,1
2019,11687,22,0.1426382977515459,1,0
2019,11688,33,0.18184979632496834,0,0
2019,11689,27,0.16079620458185673,1,0
2019,11691,31,0.23960229754447937,0,1
2019,11693,34,0.33549780026078224,0,0
2019,11695,6,0.1462009996175766,1,0
2019,11696,13,0.3094939887523651,1,0
2019,11700,83,1.548772712238133,1,0
2019,11701,29,0.3517839014530182,0,0
2019,11708,75,3.505970699712634,1,0
2019,11709,91,1.6104239728301764,1,0
2019,11710,53,0.979915420524776,1,0
2019,11713,31,0.19612800423055887,1,0
2019,11717,29,1.6919123996049166,0,0
2019,11716,93,2.1362070739269257,0,0
2019,11718,23,0.09176569804549217,0,0
2019,11727,91,2.3756653387099504,1,0
2019,11726,40,0.6728159859776497,0,0
2019,11740,16,0.153505003079772,0,0
2019,11737,64,2.1307221679016948,1,0
2019,11735,44,1.8734771255403757,0,0
2019,11733,8,0.06754010170698166,1,1
2019,11739,29,1.6580889243632555,0,0
2019,11746,83,1.947371725924313,1,0
2019,11750,42,0.5714992983266711,1,0
2019,11752,21,0.22070100158452988,0,0
2019,11751,54,0.9017689106985927,0,0
2019,11747,87,0.9286315115168691,0,0
2019,11757,51,1.0344030065461993,0,0
2019,11754,78,2.5618410324677825,1,0
2019,11753,43,0.08868000004440546,1,0
2019,11762,74,1.8767162328585982,1,0
2019,11760,83,1.8896411946043372,1,0
2019,11755,12,0.1794043993577361,1,0
2019,11772,42,0.45661159977316856,0,0
2019,11765,30,0.09138789866119623,0,0
2019,11766,81,2.687712114304304,0,0
2019,11768,91,1.8383201817050576,0,0
2019,11771,81,1.5539486007764935,0,0
2019,11770,51,0.9934541834518313,1,1
2019,11764,35,0.3144947923719883,1,0
2019,11773,77,1.8936165664345026,0,0
2019,11776,23,0.6872734185308218,1,0
2019,11779,49,1.0062083881348372,1,0
2019,11784,49,1.5217185951769352,0,0
2019,11785,94,1.295768910087645,1,0
2019,11787,85,1.5956199066713452,1,0
2019,11790,42,0.3175845965743065,1,0
2019,11792,16,0.13162430003285408,1,0
2019,11786,69,1.0154704134911299,0,0
2019,11796,48,0.9702743180096149,1,0
2019,11794,43,0.4556904146447778,0,0
2019,11800,8,0.09133069589734077,1,0
2019,11797,28,1.0297203920781612,0,0
2019,11793,40,1.4942012075334787,0,0
2019,11808,89,2.0109500968828797,1,0
2019,11810,72,0.33175510074943304,1,0
2019,11803,14,0.12798089906573296,0,0
2019,11813,30,1.3361621089279652,0,0
2019,11821,53,0.6596603076905012,1,0
2019,11820,48,0.48426230531185865,0,0
2019,11825,72,1.0623517166823149,0,0
2019,11828,70,2.1521207373589277,0,0
2019,11832,49,1.6270724246278405,0,1
2019,11834,78,0.8762041926383972,1,0
2019,11841,66,2.1591170830652118,1,0
2019,11835,94,1.3411383014172316,0,0
